,products,amount_in_gbp,quantity
85,linen trousers,20576621.56,982510
123,x-box 360,205650829.20000002,981326
90,minecraft game - xbox,8930631.8,981040
67,gameboy advance,137936301.1,977808
13,Organic Kefir,1154591.36,975811
40,chicken sausages,1775693.28,975735
48,courgette loose,1775479.32,974705
119,vernison sausages,2656302.42,973266
78,hp dv 2000 laptop,1149670340.0,973224
118,vanilla yoghurt,885653.52,972786
98,pink blazers,44169879.0,972019
12,Onions Loose,751217.8960000001,970928
0,21 day mature ribeye steak,3093065.5700000003,970456
38,celery,370144.87440000003,969213
52,denim jacket,43177883.7,968703
53,denim jeams,26437377.0,968104
63,free range large eggs x12,1323698.61,967947
26,beans,966645.1300000001,966201
94,oxford shirt,11426919.92,965924
79,hp dv 3000 laptop,1231486368.0,965873
16,Red pepper,369134.892,965632
54,diced chicken breast,2636176.68,965348
45,corn,701564.6240000001,965145
36,british fresh turkey mince,1051772.8800000001,965076
95,oxford shoes,487675595.28000003,963703
37,british parsnips loose,737574.7848,963266
60,easy peeler loose,1706940.105,963011
34,british fresh chicken brest fillets,2015600.906,962657
33,british bramley cooking apples,1541329.0816000002,962115
70,gaming mouse,65730486.0,962020
18,Soy Milk,1663381.182,961956
77,hotpoint washing machine,70080382.4,961689
30,bosch washing machine,174932912.0,961503
112,semi skimmed milk,1487760.916,961458
122,wristwatch,29742320.76,961050
65,fresh whole chicken,1224129.172,960870
49,croisant ,874978.9600000001,960820
116,skimmed milk,1660111.396,960716
1,21 day mature rump steak,2795578.6240000003,960363
50,custard doughnut,873871.98,960293
97,pain au raisins,437123.83,959943
89,millionaire square,1748379.8,959842
99,plastic sunshades,3493603.52,959811
96,pain au chocolate,523988.916,959639
8,Fairtrade Bananas Loose,689772.6526,958913
81,jam doughnut,872200.54,958302
76,halo combat evolved,18301153.92,958264
11,Oats Milk,1656489.616,957711
6,British carrots loose,348627.30400000006,957386
104,pokemon yellow,13069795.200000001,957356
3,Almond milk,1654479.682,957084
106,red velvet cake,1738736.8,956083
69,gaming keyboard,60877244.4,955764
57,dyson tower fan,434726420.0,955364
64,fresh turkey steak,1302781.62,954944
15,Plain Greek yoghurt,869148.14,954867
55,diced vernison,2604528.72,954825
32,brenton t-shirt,48668241.44,954824
75,grey cardigan,17394003.6,954604
101,pokemon blue,10430210.64,954405
61,fine beans,867864.54,954173
58,dyson vacuum cleaner,607634692.0,954161
62,flapjack,867163.98,953809
4,Blueberry yoghurt,954702.0780000001,953799
114,silk scarf,116359851.4,953757
107,rice,865884.06,953653
68,gameboy color,125617087.3,953156
73,god of war 2,17353618.400000002,952952
51,dell inspiron laptop,1431992727.0,952830
22,apple macbook air mid 2009,1645601780.0,952225
27,beef mince,2599065.54,952058
82,large king prawns,3463781.8400000003,951930
43,classic bowtie,20790912.48,951703
56,dual shock controller,43284372.0,951480
19,Spring onions bunch,320350.3956,950866
9,Lemon,259828.24800000002,950834
121,white shirt,202221241.56,950634
10,Mixed pepper,950890.0060000002,950329
74,grey blazers,29405559.6,950253
113,shortbread,864318.4400000001,950062
83,lg washing machine,86617696.0,949968
14,Organic mILK,1296224.49,949167
111,sea bass fillets,2420780.544,949056
71,garlic,215973.595,949047
105,raspberries,1944170.865,948706
5,British baking potatoes loose,715771.5156,948686
59,dyson washing machine,258775392.0,948636
39,cheese cake,1725734.56,948561
20,Sweet potatoes loose,948303.2460000002,948200
23,apple macbook pro mid 2009,1641932652.0,948077
84,linen shirt,106127189.64,947987
35,british fresh chicken thigh fillets,2068653.36,947397
21,almond croisant,861763.1,947173
120,wellington boots,20665819.68,946836
88,mild cheddar cheese,1893123.6720000003,945842
25,baby potatoes,776113.7760000001,945573
72,goat cheese,1548544.1400000001,945346
24,aubergine,591120.2951999999,942125
41,chocolate fudge cake,1712363.8,941324
17,Slightly salted butter,855726.7000000001,941076
46,corned beef,1883599.7840000002,940315
42,chocolate twist,855955.66,940303
108,salmon fillets,1967666.514,940239
92,organic raspberry yoghurt,1197769.664,940184
115,silk tie,11115290.42,940171
31,brenton jumper,45340887.32,940048
29,blue stilton cheese,1712694.1600000001,939880
117,unsalted butter,854397.86,939203
66,fresh whole turkey,1453493.8120000002,938773
91,olive oil spread,1537813.3320000002,938610
100,play station 3,170866896.0,937859
87,mature cheddar cheese,2048602.608,937448
2,21 day mature sirlion steak,2905838.492,937195
28,beef sausages,2132368.75,936846
7,Brocolli loose,1116089.1364,936365
86,macaron - x3,2555500.8000000003,936162
80,hp envy laptop,1358727456.0,933610
93,organic soured cream,850084.42,933587
44,cod fillets,1701136.56,933378
102,pokemon gold,10180897.92,932921
47,cotton tie,105028833.28,931175
110,scottish salmon,3386683.6,929632
103,pokemon red,9281619.16,927883
109,samsung washing machine,126686400.0,927666
