,products,quantity
0,21 day mature ribeye steak,1091274
1,21 day mature rump steak,1076901
2,21 day mature sirlion steak,1065414
3,Almond milk,1046518
4,Blueberry yoghurt,1038686
5,British baking potatoes loose,1074287
6,British carrots loose,1084862
7,Brocolli loose,1085861
8,Fairtrade Bananas Loose,1065418
9,Lemon,1065263
10,Mixed pepper,1039545
11,Oats Milk,1076497
12,Onions Loose,1061029
13,Organic Kefir,1058308
14,Organic mILK,1061250
15,Plain Greek yoghurt,1092783
16,Red pepper,1090289
17,Slightly salted butter,1082565
18,Soy Milk,1068440
19,Spring onions bunch,1073225
20,Sweet potatoes loose,1059844
21,almond croisant,1040776
22,apple macbook air mid 2009,1049405
23,apple macbook pro mid 2009,1049715
24,aubergine,1055526
25,baby potatoes,1047462
26,beans,1058749
27,beef mince,1040078
28,beef sausages,1062232
29,blue stilton cheese,1062866
30,bosch washing machine,1064646
31,brenton jumper,1063610
32,brenton t-shirt,1070543
33,british bramley cooking apples,1053338
34,british fresh chicken brest fillets,1063237
35,british fresh chicken thigh fillets,1082519
36,british fresh turkey mince,1080322
37,british parsnips loose,1071838
38,celery,1059038
39,cheese cake,1085339
40,chicken sausages,1035674
41,chocolate fudge cake,1054063
42,chocolate twist,1098380
43,classic bowtie,1078693
44,cod fillets,1059327
45,corn,1057868
46,corned beef,1083373
47,cotton tie,1055195
48,courgette loose,1076979
49,croisant ,1072771
50,custard doughnut,1059043
51,dell inspiron laptop,1071216
52,denim jacket,1076417
53,denim jeams,1067980
54,diced chicken breast,1070429
55,diced vernison,1052021
56,dual shock controller,1036200
57,dyson tower fan,1067624
58,dyson vacuum cleaner,1090255
59,dyson washing machine,1080583
60,easy peeler loose,1061125
61,fine beans,1074566
62,flapjack,1066588
63,free range large eggs x12,1080795
64,fresh turkey steak,1089660
65,fresh whole chicken,1075534
66,fresh whole turkey,1072119
67,gameboy advance,1038748
68,gameboy color,1080791
69,gaming keyboard,1096324
70,gaming mouse,1059798
71,garlic,1074227
72,goat cheese,1083858
73,god of war 2,1058212
74,grey blazers,1063108
75,grey cardigan,1068168
76,halo combat evolved,1088429
77,hotpoint washing machine,1090076
78,hp dv 2000 laptop,1060436
79,hp dv 3000 laptop,1059814
80,hp envy laptop,1079396
81,jam doughnut,1064034
82,large king prawns,1066546
83,lg washing machine,1071417
84,linen shirt,1064447
85,linen trousers,1077418
86,macaron - x3,1079009
87,mature cheddar cheese,1079836
88,mild cheddar cheese,1048958
89,millionaire square,1081492
90,minecraft game - xbox,1058669
91,olive oil spread,1082794
92,organic raspberry yoghurt,1063716
93,organic soured cream,1082898
94,oxford shirt,1074337
95,oxford shoes,1066879
96,pain au chocolate,1046458
97,pain au raisins,1066208
98,pink blazers,1074448
99,plastic sunshades,1056649
100,play station 3,1078629
101,pokemon blue,1074188
102,pokemon gold,1074037
103,pokemon red,1074109
104,pokemon yellow,1079852
105,raspberries,1076808
106,red velvet cake,1081247
107,rice,1084896
108,salmon fillets,1045286
109,samsung washing machine,1086280
110,scottish salmon,1080594
111,sea bass fillets,1072274
112,semi skimmed milk,1079235
113,shortbread,1075573
114,silk scarf,1079429
115,silk tie,1078528
116,skimmed milk,1076963
117,unsalted butter,1082250
118,vanilla yoghurt,1069369
119,vernison sausages,1081625
120,wellington boots,1079100
121,white shirt,1069856
122,wristwatch,1113426
123,x-box 360,1063799
