,products,quantity
0,21 day mature ribeye steak,1062686
1,21 day mature rump steak,1058431
2,21 day mature sirlion steak,1062013
3,Almond milk,1050422
4,Blueberry yoghurt,1079279
5,British baking potatoes loose,1058326
6,British carrots loose,1077089
7,Brocolli loose,1074942
8,Fairtrade Bananas Loose,1083914
9,Lemon,1075403
10,Mixed pepper,1087596
11,Oats Milk,1065575
12,Onions Loose,1070594
13,Organic Kefir,1057686
14,Organic mILK,1067571
15,Plain Greek yoghurt,1077358
16,Red pepper,1073423
17,Slightly salted butter,1069783
18,Soy Milk,1070040
19,Spring onions bunch,1085796
20,Sweet potatoes loose,1073342
21,almond croisant,1071897
22,apple macbook air mid 2009,1053486
23,apple macbook pro mid 2009,1076492
24,aubergine,1075062
25,baby potatoes,1055311
26,beans,1077507
27,beef mince,1066725
28,beef sausages,1062658
29,blue stilton cheese,1077828
30,bosch washing machine,1063127
31,brenton jumper,1087770
32,brenton t-shirt,1069219
33,british bramley cooking apples,1063516
34,british fresh chicken brest fillets,1072747
35,british fresh chicken thigh fillets,1057863
36,british fresh turkey mince,1072054
37,british parsnips loose,1057343
38,celery,1072593
39,cheese cake,1066795
40,chicken sausages,1086259
41,chocolate fudge cake,1075208
42,chocolate twist,1065466
43,classic bowtie,1076665
44,cod fillets,1082928
45,corn,1080595
46,corned beef,1079510
47,cotton tie,1055301
48,courgette loose,1051396
49,croisant ,1094740
50,custard doughnut,1090912
51,dell inspiron laptop,1056068
52,denim jacket,1068393
53,denim jeams,1040458
54,diced chicken breast,1058833
55,diced vernison,1079815
56,dual shock controller,1073591
57,dyson tower fan,1076484
58,dyson vacuum cleaner,1074241
59,dyson washing machine,1066952
60,easy peeler loose,1073181
61,fine beans,1074900
62,flapjack,1068730
63,free range large eggs x12,1065820
64,fresh turkey steak,1056653
65,fresh whole chicken,1097635
66,fresh whole turkey,1063467
67,gameboy advance,1081316
68,gameboy color,1072735
69,gaming keyboard,1089989
70,gaming mouse,1061927
71,garlic,1074976
72,goat cheese,1068715
73,god of war 2,1076757
74,grey blazers,1046741
75,grey cardigan,1073755
76,halo combat evolved,1071186
77,hotpoint washing machine,1074629
78,hp dv 2000 laptop,1080555
79,hp dv 3000 laptop,1074222
80,hp envy laptop,1074105
81,jam doughnut,1055523
82,large king prawns,1073991
83,lg washing machine,1045387
84,linen shirt,1068403
85,linen trousers,1071312
86,macaron - x3,1062965
87,mature cheddar cheese,1080351
88,mild cheddar cheese,1049996
89,millionaire square,1064321
90,minecraft game - xbox,1076467
91,olive oil spread,1051702
92,organic raspberry yoghurt,1047574
93,organic soured cream,1054082
94,oxford shirt,1076023
95,oxford shoes,1052009
96,pain au chocolate,1068207
97,pain au raisins,1066137
98,pink blazers,1082464
99,plastic sunshades,1051173
100,play station 3,1059408
101,pokemon blue,1089516
102,pokemon gold,1087829
103,pokemon red,1067956
104,pokemon yellow,1078100
105,raspberries,1080879
106,red velvet cake,1075224
107,rice,1063295
108,salmon fillets,1064830
109,samsung washing machine,1050416
110,scottish salmon,1082483
111,sea bass fillets,1092301
112,semi skimmed milk,1059388
113,shortbread,1081226
114,silk scarf,1058075
115,silk tie,1074964
116,skimmed milk,1053909
117,unsalted butter,1071517
118,vanilla yoghurt,1054728
119,vernison sausages,1087908
120,wellington boots,1066399
121,white shirt,1060699
122,wristwatch,1091494
123,x-box 360,1056168
