,products,quantity
0,21 day mature ribeye steak,1043354
1,21 day mature rump steak,1044684
2,21 day mature sirlion steak,1033622
3,Almond milk,1033750
4,Blueberry yoghurt,1051600
5,British baking potatoes loose,1049152
6,British carrots loose,1047198
7,Brocolli loose,1029730
8,Fairtrade Bananas Loose,1055048
9,Lemon,1062076
10,Mixed pepper,1027314
11,Oats Milk,1051525
12,Onions Loose,1077385
13,Organic Kefir,1027923
14,Organic mILK,1061361
15,Plain Greek yoghurt,1034996
16,Red pepper,1036369
17,Slightly salted butter,1044795
18,Soy Milk,1014842
19,Spring onions bunch,1040268
20,Sweet potatoes loose,1048320
21,almond croisant,1048437
22,apple macbook air mid 2009,1066252
23,apple macbook pro mid 2009,1030278
24,aubergine,1044906
25,baby potatoes,1057966
26,beans,1035818
27,beef mince,1048441
28,beef sausages,1044228
29,blue stilton cheese,1043188
30,bosch washing machine,1045457
31,brenton jumper,1034882
32,brenton t-shirt,1059151
33,british bramley cooking apples,1056879
34,british fresh chicken brest fillets,1022173
35,british fresh chicken thigh fillets,1066833
36,british fresh turkey mince,1045076
37,british parsnips loose,1072746
38,celery,1040740
39,cheese cake,1051223
40,chicken sausages,1051610
41,chocolate fudge cake,1045794
42,chocolate twist,1043506
43,classic bowtie,1038816
44,cod fillets,1093276
45,corn,1038850
46,corned beef,1036200
47,cotton tie,1041265
48,courgette loose,1042082
49,croisant ,1054587
50,custard doughnut,1061638
51,dell inspiron laptop,1028675
52,denim jacket,1055835
53,denim jeams,1014283
54,diced chicken breast,1064876
55,diced vernison,1037001
56,dual shock controller,1046219
57,dyson tower fan,1044510
58,dyson vacuum cleaner,1066294
59,dyson washing machine,1069339
60,easy peeler loose,1044111
61,fine beans,1046717
62,flapjack,1072053
63,free range large eggs x12,1051501
64,fresh turkey steak,1042696
65,fresh whole chicken,1054966
66,fresh whole turkey,1058467
67,gameboy advance,1057647
68,gameboy color,1052000
69,gaming keyboard,1030420
70,gaming mouse,1045031
71,garlic,1033786
72,goat cheese,1050594
73,god of war 2,1037605
74,grey blazers,1074225
75,grey cardigan,1032166
76,halo combat evolved,1055924
77,hotpoint washing machine,1053686
78,hp dv 2000 laptop,1027116
79,hp dv 3000 laptop,1038693
80,hp envy laptop,1057139
81,jam doughnut,1060368
82,large king prawns,1057645
83,lg washing machine,1057614
84,linen shirt,1042689
85,linen trousers,1067771
86,macaron - x3,1047539
87,mature cheddar cheese,1072140
88,mild cheddar cheese,1041149
89,millionaire square,1045648
90,minecraft game - xbox,1058781
91,olive oil spread,1045216
92,organic raspberry yoghurt,1037335
93,organic soured cream,1045053
94,oxford shirt,1056235
95,oxford shoes,1049677
96,pain au chocolate,1043287
97,pain au raisins,1064209
98,pink blazers,1046124
99,plastic sunshades,1029572
100,play station 3,1027215
101,pokemon blue,1053269
102,pokemon gold,1044229
103,pokemon red,1050717
104,pokemon yellow,1045526
105,raspberries,1053725
106,red velvet cake,1042491
107,rice,1062067
108,salmon fillets,1061146
109,samsung washing machine,1049290
110,scottish salmon,1048930
111,sea bass fillets,1031502
112,semi skimmed milk,1037531
113,shortbread,1021087
114,silk scarf,1035989
115,silk tie,1053826
116,skimmed milk,1040868
117,unsalted butter,1046656
118,vanilla yoghurt,1054303
119,vernison sausages,1061107
120,wellington boots,1048697
121,white shirt,1067643
122,wristwatch,1025315
123,x-box 360,1040432
