,products,amount_in_gbp,quantity
0,21 day mature ribeye steak,3056097.24,959941
1,21 day mature rump steak,2862101.8880000003,981407
2,21 day mature sirlion steak,2984495.112,965308
3,Almond milk,1699354.908,981582
4,Blueberry yoghurt,963663.2500000001,963590
5,British baking potatoes loose,742125.1776,981820
6,British carrots loose,360539.44000000006,988204
7,Brocolli loose,1165418.7322,978206
8,Fairtrade Bananas Loose,687489.6000000001,955519
9,Lemon,265278.60000000003,970652
10,Mixed pepper,962286.8200000002,961372
11,Oats Milk,1710871.112,987463
12,Onions Loose,760528.473,983759
13,Organic Kefir,1167862.1760000002,986268
14,Organic mILK,1348657.98,987730
15,Plain Greek yoghurt,897401.3,985030
16,Red pepper,370061.538,968266
17,Slightly salted butter,891397.5,979603
18,Soy Milk,1695881.252,979878
19,Spring onions bunch,336383.132,999276
20,Sweet potatoes loose,975048.1180000001,973436
21,almond croisant,884911.3200000001,972304
22,apple macbook air mid 2009,1728743994.0,999144
23,apple macbook pro mid 2009,1711088814.0,988767
24,aubergine,614234.0532,977522
25,baby potatoes,789552.27,963015
26,beans,963869.8520000002,961842
27,beef mince,2658214.5,973520
28,beef sausages,2246523.45,986802
29,blue stilton cheese,1789177.84,982577
30,bosch washing machine,178278340.0,978987
31,brenton jumper,46923646.46,972281
32,brenton t-shirt,48860020.160000004,959667
33,british bramley cooking apples,1552350.2368,969403
34,british fresh chicken brest fillets,2012522.954,962531
35,british fresh chicken thigh fillets,2126098.128,972307
36,british fresh turkey mince,1045405.92,957197
37,british parsnips loose,739718.7336,967059
38,celery,374789.3772,980313
39,cheese cake,1798121.52,988233
40,chicken sausages,1737106.52,955319
41,chocolate fudge cake,1805755.12,991146
42,chocolate twist,894146.36,981859
43,classic bowtie,21258965.28,972545
44,cod fillets,1762302.08,967315
45,corn,709733.3280000001,975757
46,corned beef,1976663.0400000003,986249
47,cotton tie,112676957.36,996364
48,courgette loose,1751947.28,962348
49,croisant ,873916.76,961081
50,custard doughnut,903911.92,993241
51,dell inspiron laptop,1465444662.0,975885
52,denim jacket,43371942.32,972887
53,denim jeams,26933310.6,986541
54,diced chicken breast,2663544.3600000003,975495
55,diced vernison,2690885.8200000003,985128
56,dual shock controller,44661814.0,981913
57,dyson tower fan,438081880.0,962213
58,dyson vacuum cleaner,615283172.0,964987
59,dyson washing machine,264368304.0,968256
60,easy peeler loose,1755376.233,987343
61,fine beans,897922.9600000001,984541
62,flapjack,892693.3,982122
63,free range large eggs x12,1331938.74,975862
64,fresh turkey steak,1307361.6,956211
65,fresh whole chicken,1236419.128,969116
66,fresh whole turkey,1515876.4340000001,978995
67,gameboy advance,136946412.20000002,969878
68,gameboy color,130127671.9,986263
69,gaming keyboard,61360716.2,962359
70,gaming mouse,67356609.0,987606
71,garlic,218112.56,959260
72,goat cheese,1593089.8920000002,970580
73,god of war 2,17579027.200000003,966605
74,grey blazers,30219283.64,975988
75,grey cardigan,17808031.200000003,976168
76,halo combat evolved,18385709.580000002,961740
77,hotpoint washing machine,70346854.4,964839
78,hp dv 2000 laptop,1152970390.0,974347
79,hp dv 3000 laptop,1249117156.0,981167
80,hp envy laptop,1415687712.0,972979
81,jam doughnut,896128.24,984653
82,large king prawns,3549639.44,975525
83,lg washing machine,89211486.0,979290
84,linen shirt,109052405.16000001,974436
85,linen trousers,20212148.38,965882
86,macaron - x3,2602763.16,953501
87,mature cheddar cheese,2144581.68,980948
88,mild cheddar cheese,1973550.7000000002,984410
89,millionaire square,1801491.8,990485
90,minecraft game - xbox,8962422.4,985056
91,olive oil spread,1620775.3320000002,989130
92,organic raspberry yoghurt,1218158.816,955306
93,organic soured cream,891437.76,978727
94,oxford shirt,11799962.46,996253
95,oxford shoes,490240167.52000004,967763
96,pain au chocolate,542913.552,994980
97,pain au raisins,447989.37,983927
98,pink blazers,43061466.0,945516
99,plastic sunshades,3577149.52,983292
100,play station 3,179157888.0,982912
101,pokemon blue,10676568.0,978017
102,pokemon gold,10881036.24,996693
103,pokemon red,9644911.540000001,963156
104,pokemon yellow,13287132.3,972930
105,raspberries,2006924.8050000002,977369
106,red velvet cake,1770961.4000000001,972134
107,rice,891056.16,978055
108,salmon fillets,2097874.39,1000733
109,samsung washing machine,134178030.0,981424
110,scottish salmon,3509415.2,963301
111,sea bass fillets,2555399.112,1002406
112,semi skimmed milk,1479728.246,956831
113,shortbread,892824.8400000001,981584
114,silk scarf,119296890.2,977980
115,silk tie,11673460.24,986923
116,skimmed milk,1651873.566,953507
117,unsalted butter,893560.52,981675
118,vanilla yoghurt,896330.14,984740
119,vernison sausages,2711514.7800000003,993943
120,wellington boots,21444907.200000003,980834
121,white shirt,207685960.56,975342
122,wristwatch,29724569.36,961173
123,x-box 360,204868640.6,979724
