,products,amount_in_gbp,quantity
0,21 day mature ribeye steak,3123492.0500000003,980044
1,21 day mature rump steak,2911508.416,1000858
2,21 day mature sirlion steak,3010407.1920000003,973971
3,Almond milk,1695520.632,980437
4,Blueberry yoghurt,979732.6220000001,977845
5,British baking potatoes loose,736344.8916,974701
6,British carrots loose,362659.7920000001,995774
7,Brocolli loose,1170348.5766,981765
8,Fairtrade Bananas Loose,705863.3568000001,981681
9,Lemon,267599.142,982358
10,Mixed pepper,979498.1460000002,978173
11,Oats Milk,1706774.8260000001,986858
12,Onions Loose,752229.9230000001,974478
13,Organic Kefir,1149814.9780000001,972205
14,Organic mILK,1338686.79,980963
15,Plain Greek yoghurt,885370.98,972914
16,Red pepper,362914.8852,949164
17,Slightly salted butter,894770.8,982893
18,Soy Milk,1685055.28,974192
19,Spring onions bunch,319503.2806,949573
20,Sweet potatoes loose,965148.1840000001,964813
21,almond croisant,878448.8,964723
22,apple macbook air mid 2009,1654629896.0,956446
23,apple macbook pro mid 2009,1674835636.0,967730
24,aubergine,603944.5662,962575
25,baby potatoes,799636.0140000001,976185
26,beans,957981.0240000001,958351
27,beef mince,2590446.9000000004,949332
28,beef sausages,2200052.7,967808
29,blue stilton cheese,1786781.72,982271
30,bosch washing machine,176533940.0,969499
31,brenton jumper,46544221.58,964559
32,brenton t-shirt,48636797.44,953863
33,british bramley cooking apples,1582307.8656000001,988631
34,british fresh chicken brest fillets,2032189.794,970778
35,british fresh chicken thigh fillets,2105300.592,965861
36,british fresh turkey mince,1058867.112,969769
37,british parsnips loose,722686.86,944447
38,celery,372864.87,975330
39,cheese cake,1797227.0,986053
40,chicken sausages,1776700.28,975771
41,chocolate fudge cake,1783698.48,979985
42,chocolate twist,873917.28,959834
43,classic bowtie,21662510.880000003,990891
44,cod fillets,1760239.48,967864
45,corn,711139.7440000001,976541
46,corned beef,1994782.3280000002,996219
47,cotton tie,110524483.52,978982
48,courgette loose,1739068.4000000001,956498
49,croisant ,872803.8400000001,959379
50,custard doughnut,866225.72,951114
51,dell inspiron laptop,1462440177.0,973837
52,denim jacket,42969327.940000005,962808
53,denim jeams,26274053.400000002,962549
54,diced chicken breast,2670976.14,978251
55,diced vernison,2668571.1,977986
56,dual shock controller,43928496.0,965326
57,dyson tower fan,447354600.0,981729
58,dyson vacuum cleaner,613167296.0,962075
59,dyson washing machine,267954486.0,981703
60,easy peeler loose,1714660.155,964681
61,fine beans,882332.8200000001,969866
62,flapjack,857453.9,942586
63,free range large eggs x12,1341240.99,982544
64,fresh turkey steak,1328910.75,972575
65,fresh whole chicken,1235381.812,968752
66,fresh whole turkey,1538924.932,994862
67,gameboy advance,138100067.9,978426
68,gameboy color,130943314.3,990882
69,gaming keyboard,61950519.4,971960
70,gaming mouse,67671669.0,991024
71,garlic,220495.135,969735
72,goat cheese,1569544.8120000002,957699
73,god of war 2,17781588.8,977437
74,grey blazers,30492343.080000002,985355
75,grey cardigan,17657484.400000002,970588
76,halo combat evolved,18355772.400000002,960575
77,hotpoint washing machine,70727371.2,970446
78,hp dv 2000 laptop,1163546306.0,983491
79,hp dv 3000 laptop,1235200064.0,968778
80,hp envy laptop,1424997408.0,978475
81,jam doughnut,879425.6,966985
82,large king prawns,3520471.7600000002,966145
83,lg washing machine,87309070.0,959835
84,linen shirt,108417078.18,968860
85,linen trousers,20124073.1,961114
86,macaron - x3,2580034.14,944932
87,mature cheddar cheese,2100068.832,961506
88,mild cheddar cheese,1992864.4560000002,994299
89,millionaire square,1744404.9200000002,959414
90,minecraft game - xbox,8956192.200000001,984373
91,olive oil spread,1596963.888,974874
92,organic raspberry yoghurt,1233778.056,967687
93,organic soured cream,877234.56,963373
94,oxford shirt,11433842.68,965739
95,oxford shoes,487692642.24,963719
96,pain au chocolate,526595.652,963580
97,pain au raisins,439780.96,965981
98,pink blazers,44181364.0,969225
99,plastic sunshades,3498684.08,959589
100,play station 3,178722868.0,981293
101,pokemon blue,10745488.8,983299
102,pokemon gold,10338697.68,947460
103,pokemon red,9671113.540000001,966869
104,pokemon yellow,12974792.4,951900
105,raspberries,2005387.875,979033
106,red velvet cake,1758838.1600000001,965640
107,rice,875070.48,960327
108,salmon fillets,2071085.232,988336
109,samsung washing machine,129474408.0,947926
110,scottish salmon,3498790.3200000003,960561
111,sea bass fillets,2535288.952,996572
112,semi skimmed milk,1504408.166,972616
113,shortbread,873429.68,958824
114,silk scarf,119073230.8,975558
115,silk tie,11493750.84,971807
116,skimmed milk,1646701.956,951181
117,unsalted butter,872415.74,959544
118,vanilla yoghurt,897559.8,985520
119,vernison sausages,2643675.96,968374
120,wellington boots,20855823.36,954579
121,white shirt,208376892.36,978298
122,wristwatch,30376351.400000002,982677
123,x-box 360,201905509.20000002,963328
